filename,duration_sec,width,height,codec,fps
IMG_3794.MOV,5.903333,3840,2160,hevc,30000/1001
IMG_3795.MOV,9.940000,3840,2160,hevc,30000/1001
IMG_3797.MOV,4.336667,3840,2160,hevc,30000/1001
IMG_3800.MOV,11.875000,3840,2160,hevc,30000/1001
IMG_3804.MOV,6.605000,3840,2160,hevc,30000/1001
IMG_3807.MOV,5.903333,3840,2160,hevc,30000/1001
IMG_3808.MOV,2.000000,3840,2160,hevc,30/1
IMG_3809.MOV,2.100000,3840,2160,hevc,30/1
IMG_3810.MOV,2.266667,3840,2160,hevc,30/1
IMG_3811.MOV,3.533333,3840,2160,hevc,30/1
IMG_3812.MOV,2.666667,3840,2160,hevc,30/1
IMG_3813.MOV,4.400000,3840,2160,hevc,30/1
IMG_3814.MOV,6.268333,3840,2160,hevc,30/1
IMG_3816.MOV,4.600000,3840,2160,hevc,30/1
IMG_3817.MOV,2.500000,3840,2160,hevc,30/1
IMG_3818.MOV,1.900000,3840,2160,hevc,30/1
IMG_3819.MOV,3.666667,3840,2160,hevc,30/1
IMG_3820.MOV,2.501667,3840,2160,hevc,30000/1001
IMG_3821.MOV,9.768333,3840,2160,hevc,30/1
IMG_3822.MOV,1.700000,3840,2160,hevc,30/1
IMG_3823.MOV,1.435000,3840,2160,hevc,30/1
IMG_3824.MOV,7.171667,3840,2160,hevc,30000/1001
IMG_3825.MOV,5.533333,3840,2160,hevc,30/1
IMG_3826.MOV,3.966667,3840,2160,hevc,30/1
IMG_3827.MOV,3.800000,3840,2160,hevc,30/1
IMG_3828.MOV,3.266700,3840,2160,hevc,30/1
IMG_3829.MOV,2.033333,3840,2160,hevc,30/1
IMG_3830.MOV,4.833333,3840,2160,hevc,30/1
IMG_3831.MOV,2.600000,3840,2160,hevc,30/1
IMG_3832.MOV,5.566667,3840,2160,hevc,30/1
IMG_3833.MOV,4.400000,3840,2160,hevc,30/1
IMG_3834.MOV,6.168333,3840,2160,hevc,30/1
IMG_3835.MOV,2.500000,3840,2160,hevc,30/1
IMG_3836.MOV,4.766667,3840,2160,hevc,30/1
