filename,duration_sec,width,height,orientation,fps,codec,bitrate_kbps,audio_codec
IMG_3470.MOV,3.633,3840,2160,landscape,30.0,hevc,26002,aac
IMG_3473.MOV,2.3,3840,2160,landscape,30.0,hevc,27024,aac
IMG_3475.MOV,12.802,3840,2160,landscape,29.996,hevc,37735,aac
IMG_3476.MOV,3.567,3840,2160,landscape,30.0,hevc,37977,aac
IMG_3477.MOV,2.367,3840,2160,landscape,30.0,hevc,28123,aac
IMG_3478.MOV,1.1,3840,2160,landscape,30.0,hevc,44984,aac
IMG_3479.mov,1.825,3840,2160,landscape,30.137,hevc,36429,aac
IMG_3486.MOV,2.335,3840,2160,landscape,29.979,hevc,27596,aac
IMG_3487.MOV,2.568,3840,2160,landscape,29.981,hevc,24198,aac
IMG_3488.MOV,1.968,3840,2160,landscape,29.975,hevc,25255,aac
IMG_3490.MOV,5.967,3840,2160,landscape,30.0,hevc,33228,aac
IMG_3491.MOV,0.467,3840,2160,landscape,30.0,hevc,29433,aac
IMG_3492.MOV,4.3,3840,2160,landscape,30.0,hevc,28738,aac
IMG_3494.MOV,2.135,3840,2160,landscape,29.977,hevc,29881,aac
IMG_3495.MOV,4.037,3840,2160,landscape,29.975,hevc,30036,aac
IMG_3496.MOV,5.27,3840,2160,landscape,29.981,hevc,28486,aac
IMG_3497.MOV,1.233,3840,2160,landscape,30.0,hevc,39223,aac
IMG_3498.MOV,3.833,3840,2160,landscape,30.0,hevc,39046,aac
IMG_3499.MOV,1.7,3840,2160,landscape,30.0,hevc,38753,aac
IMG_3518.MOV,2.133,3840,2160,landscape,30.0,hevc,31123,aac
IMG_3519.MOV,4.067,3840,2160,landscape,30.0,hevc,34784,aac
IMG_3520.MOV,3.0,3840,2160,landscape,30.0,hevc,38833,aac
IMG_3521.MOV,3.433,3840,2160,landscape,30.0,hevc,39322,aac
IMG_3524.mov,1.6,3840,2160,landscape,30.0,hevc,33117,aac
IMG_3528.MOV,1.067,3840,2160,landscape,30.0,hevc,43632,aac
IMG_3530.MOV,2.433,3840,2160,landscape,30.0,hevc,40827,aac
IMG_3531.MOV,4.0,3840,2160,landscape,30.0,hevc,38575,aac
IMG_3534.MOV,2.8,3840,2160,landscape,30.0,hevc,39136,aac
IMG_3535.MOV,5.033,3840,2160,landscape,30.0,hevc,33210,aac
IMG_3536.MOV,3.5,3840,2160,landscape,30.0,hevc,37948,aac
IMG_3537.MOV,4.5,3840,2160,landscape,30.0,hevc,35568,aac
IMG_3538.MOV,10.968,3840,2160,landscape,29.995,hevc,31909,aac
IMG_3539.MOV,2.4,3840,2160,landscape,30.0,hevc,36701,aac
IMG_3545.MOV,4.867,3840,2160,landscape,30.0,hevc,36787,aac
IMG_3551.MOV,1.833,3840,2160,landscape,30.0,hevc,41859,aac
IMG_3552.MOV,5.302,3840,2160,landscape,29.991,hevc,23379,aac
IMG_3555.MOV,3.633,3840,2160,landscape,30.0,hevc,32773,aac
IMG_3556.MOV,2.367,3840,2160,landscape,30.0,hevc,33590,aac
IMG_3557.MOV,3.868,3840,2160,landscape,29.987,hevc,35616,aac
IMG_3558.MOV,8.002,3840,2160,landscape,29.994,hevc,30589,aac
IMG_3563.MOV,0.867,3840,2160,landscape,30.0,hevc,25919,aac
IMG_3565.MOV,1.367,3840,2160,landscape,30.0,hevc,42984,aac
IMG_3566.MOV,2.133,3840,2160,landscape,30.0,hevc,42257,aac
IMG_3567.MOV,2.6,3840,2160,landscape,30.0,hevc,40681,aac
IMG_3568.MOV,2.333,3840,2160,landscape,30.0,hevc,34379,aac
IMG_3570.MOV,1.733,3840,2160,landscape,30.0,hevc,26888,aac
IMG_3571.MOV,2.067,3840,2160,landscape,30.0,hevc,41667,aac
IMG_3572.MOV,3.3,3840,2160,landscape,30.0,hevc,36031,aac
IMG_3578.MOV,4.4,3840,2160,landscape,30.0,hevc,33517,aac
IMG_3579.MOV,0.9,3840,2160,landscape,30.0,hevc,32558,aac
IMG_3580.MOV,2.367,3840,2160,landscape,30.0,hevc,28749,aac
IMG_3617.MOV,2.968,3840,2160,landscape,29.983,hevc,27439,aac
IMG_3618.MOV,3.568,3840,2160,landscape,29.986,hevc,31813,aac
IMG_3619.MOV,2.833,3840,2160,landscape,30.0,hevc,41087,aac
IMG_3620.MOV,1.9,3840,2160,landscape,30.0,hevc,37256,aac
IMG_3621.MOV,3.667,3840,2160,landscape,30.0,hevc,37884,aac
IMG_3624.MOV,2.6,3840,2160,landscape,30.0,hevc,38472,aac
IMG_3625.MOV,2.3,3840,2160,landscape,30.0,hevc,38733,aac
IMG_3626.MOV,3.367,3840,2160,landscape,30.0,hevc,38094,aac
IMG_3627.MOV,3.833,3840,2160,landscape,30.0,hevc,38567,aac
IMG_3628.MOV,3.4,3840,2160,landscape,30.0,hevc,38179,aac
IMG_3630.MOV,3.667,3840,2160,landscape,30.0,hevc,39021,aac
IMG_3631.MOV,0.967,3840,2160,landscape,30.0,hevc,30420,aac
IMG_3632.MOV,0.3,3840,2160,landscape,30.0,hevc,39745,aac
IMG_3633.MOV,5.103,3840,2160,landscape,29.98,hevc,27705,aac
TOTAL_65_clips,208.753,,,,,,,
