tl_in,tl_out,tl_len,role,tag,file,src_dur,src_in,src_out,label
0.0,3.204,3.204,open,mahjong,IMG_3558.MOV,8.002,2.399,5.603,Cold open: hero mahjong wide / tile detail
3.204,4.807,1.603,build,people,IMG_3475.MOV,12.802,5.599,7.202,"Player seated, first reaction"
4.807,6.409,1.602,build,mahjong,IMG_3552.MOV,5.302,1.85,3.452,Tiles being placed / shuffled
6.409,7.477,1.068,build,mixed,IMG_3496.MOV,5.27,2.101,3.169,Table establishing
7.477,8.545,1.068,build,people,IMG_3538.MOV,10.968,4.95,6.018,Reaction
8.545,9.079,0.534,hook1,mahjong,IMG_3545.MOV,4.867,2.167,2.701,Hook pop: tile slam
9.079,9.613,0.534,hook1,people,IMG_3490.MOV,5.967,2.716,3.25,Hook pop: face
9.613,10.147,0.534,hook1,mahjong,IMG_3519.MOV,4.067,1.767,2.301,Hook pop: hand placing
10.147,10.681,0.534,hook1,people,IMG_3633.MOV,5.103,2.284,2.818,Hook pop: laugh
10.681,11.215,0.534,hook1,mahjong,IMG_3531.MOV,4.0,1.733,2.267,Hook pop: tile detail
11.215,11.749,0.534,hook1,mixed,IMG_3535.MOV,5.033,2.25,2.784,Hook pop: table action
11.749,12.817,1.068,mid,mahjong,IMG_3498.MOV,3.833,1.383,2.451,Mid hero: longer hold on play
12.817,13.351,0.534,hook2,people,IMG_3537.MOV,4.5,1.983,2.517,Hook2: gesture
13.351,13.886,0.535,hook2,mahjong,IMG_3555.MOV,3.633,1.549,2.084,Hook2: tiles
13.886,14.42,0.534,hook2,people,IMG_3492.MOV,4.3,1.883,2.417,Hook2: face
14.42,14.954,0.534,hook2,mahjong,IMG_3521.MOV,3.433,1.45,1.984,Hook2: hand
14.954,15.488,0.534,hook2,mixed,IMG_3495.MOV,4.037,1.752,2.286,Hook2: tableau
15.488,16.022,0.534,hook2,people,IMG_3476.MOV,3.567,1.517,2.051,Hook2: smile
16.022,17.09,1.068,mid,mixed,IMG_3627.MOV,3.833,1.383,2.451,Hostess / wide context
17.09,18.158,1.068,mid,mahjong,IMG_3520.MOV,3.0,0.966,2.034,Top-down shuffle hero
18.158,18.692,0.534,hook3,people,IMG_3539.MOV,2.4,0.933,1.467,Final pop: reaction
18.692,19.226,0.534,hook3,mahjong,IMG_3534.MOV,2.8,1.133,1.667,Final pop: tile
19.226,19.76,0.534,hook3,people,IMG_3477.MOV,2.367,0.916,1.45,Final pop: laugh
19.76,20.294,0.534,hook3,mahjong,IMG_3487.MOV,2.568,1.017,1.551,Final pop: play
20.294,21.362,1.068,hook3,mixed,IMG_3621.MOV,3.667,1.299,2.367,Group action 2-beat
21.362,22.431,1.069,mid,mahjong,IMG_3530.MOV,2.433,0.682,1.751,Hero detail hold
22.431,22.965,0.534,close_b,people,IMG_3625.MOV,2.3,0.883,1.417,Close build: face
22.965,23.499,0.534,close_b,mahjong,IMG_3556.MOV,2.367,0.916,1.45,Close build: tile
23.499,24.033,0.534,close_b,people,IMG_3631.MOV,0.967,0.216,0.75,Close build: smile
24.033,24.567,0.534,close_b,mahjong,IMG_3486.MOV,2.335,0.9,1.434,Close build: hand
24.567,25.635,1.068,close_b,mixed,IMG_3630.MOV,3.667,1.299,2.367,Wider 2-beat
25.635,27.771,2.136,close,mahjong,IMG_3473.MOV,2.3,0.082,2.218,Big group laugh hold
27.771,30.0,2.229,close,mixed,IMG_3470.MOV,3.633,0.702,2.931,"Selfie/group final, freeze-friendly"
